iter	Passed	Remaining
0	7	7507
1	12	6311
2	17	5930
3	22	5696
4	28	5583
5	33	5513
6	38	5425
7	43	5365
8	48	5315
9	53	5265
10	58	5239
11	63	5198
12	68	5176
13	73	5151
14	78	5139
15	83	5126
16	88	5107
17	93	5099
18	98	5084
19	103	5064
20	108	5045
21	113	5033
22	118	5029
23	123	5022
24	128	5012
25	133	4999
26	138	4983
27	143	4976
28	148	4971
29	153	4965
30	158	4963
31	163	4958
32	168	4950
33	173	4941
34	178	4930
35	183	4921
36	188	4918
37	194	4913
38	198	4899
39	203	4889
40	208	4884
41	213	4879
42	218	4869
43	223	4859
44	228	4852
45	233	4844
46	238	4840
47	243	4837
48	248	4828
49	253	4823
50	258	4816
51	263	4808
52	268	4801
53	273	4794
54	278	4789
55	283	4782
56	288	4775
57	293	4768
58	298	4762
59	303	4757
60	308	4751
61	313	4745
62	318	4740
63	323	4732
64	328	4723
65	333	4717
66	338	4710
67	343	4703
68	348	4698
69	353	4691
70	357	4682
71	362	4677
72	367	4672
73	372	4665
74	378	4665
75	383	4658
76	388	4652
77	393	4647
78	397	4639
79	402	4630
80	407	4626
81	412	4621
82	417	4615
83	422	4608
84	427	4602
85	432	4595
86	437	4588
87	442	4582
88	447	4577
89	451	4568
90	456	4562
91	461	4555
92	466	4551
93	471	4548
94	477	4545
95	482	4542
96	487	4537
97	492	4534
98	497	4531
99	503	4529
100	508	4529
101	515	4537
102	520	4530
103	525	4523
104	529	4516
105	534	4509
106	539	4502
107	544	4496
108	549	4490
109	554	4484
110	559	4477
111	563	4471
112	568	4463
113	573	4457
114	578	4449
115	583	4444
116	588	4437
117	592	4431
118	597	4426
119	602	4419
120	607	4413
121	612	4407
122	617	4403
123	622	4396
124	627	4390
125	632	4385
126	637	4379
127	641	4372
128	646	4366
129	651	4361
130	656	4356
131	661	4350
132	666	4343
133	671	4337
134	675	4330
135	680	4324
136	685	4318
137	690	4313
138	695	4309
139	700	4302
140	705	4298
141	710	4293
142	715	4287
143	720	4282
144	725	4276
145	730	4270
146	735	4266
147	740	4260
148	744	4254
149	749	4249
150	754	4244
151	759	4238
152	764	4232
153	769	4227
154	774	4222
155	779	4217
156	784	4211
157	789	4207
158	794	4202
159	799	4198
160	804	4192
161	809	4187
162	814	4181
163	819	4175
164	823	4169
165	828	4163
166	833	4158
167	838	4153
168	842	4140
169	847	4135
170	851	4130
171	856	4123
172	861	4118
173	866	4112
174	871	4106
175	876	4103
176	881	4098
177	886	4093
178	891	4088
179	896	4082
180	901	4077
181	906	4074
182	911	4067
183	916	4063
184	921	4057
185	926	4052
186	931	4048
187	936	4043
188	940	4037
189	945	4031
190	950	4027
191	955	4021
192	960	4016
193	965	4012
194	970	4006
195	975	4002
196	980	3996
197	985	3991
198	990	3985
199	995	3980
200	1000	3975
201	1005	3971
202	1010	3966
203	1015	3960
204	1019	3954
205	1024	3948
206	1029	3944
207	1034	3940
208	1040	3936
209	1044	3930
210	1049	3924
211	1054	3920
212	1059	3914
213	1064	3909
214	1069	3903
215	1074	3898
216	1079	3893
217	1084	3889
218	1089	3883
219	1093	3878
220	1098	3873
221	1103	3868
222	1108	3862
223	1113	3857
224	1118	3851
225	1122	3845
226	1127	3840
227	1132	3835
228	1137	3830
229	1142	3825
230	1147	3820
231	1152	3815
232	1157	3810
233	1162	3804
234	1167	3799
235	1172	3795
236	1177	3789
237	1182	3784
238	1187	3780
239	1192	3774
240	1197	3769
241	1201	3764
242	1207	3760
243	1212	3755
244	1217	3751
245	1222	3746
246	1227	3740
247	1232	3736
248	1237	3731
249	1242	3726
250	1247	3722
251	1252	3717
252	1257	3712
253	1262	3707
254	1267	3702
255	1272	3697
256	1277	3693
257	1282	3688
258	1287	3684
259	1293	3680
260	1298	3675
261	1303	3670
262	1308	3666
263	1313	3661
264	1318	3655
265	1323	3650
266	1327	3645
267	1333	3641
268	1337	3635
269	1342	3630
270	1347	3626
271	1353	3621
272	1357	3616
273	1362	3611
274	1367	3606
275	1373	3601
276	1378	3596
277	1383	3592
278	1388	3587
279	1393	3582
280	1398	3577
281	1403	3572
282	1408	3568
